winner_id,project_id
1,1
2,2
3,3
3,587
4,4
4,289
4,326
4,574
4,591
5,5
6,6
6,380
6,475
6,565
7,7
7,57
7,294
7,396
7,418
8,8
9,9
10,10
10,381
10,433
11,11
11,125
11,204
11,506
12,12
12,482
13,13
14,14
15,15
16,16
16,417
16,519
17,17
17,24
17,206
17,340
17,473
18,18
19,19
19,61
20,20
20,143
20,317
21,21
22,22
23,23
23,46
23,77
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
37,123
38,39
39,40
39,47
40,41
40,278
41,42
41,56
41,287
41,442
41,584
42,43
43,44
43,514
44,45
44,271
45,48
46,49
47,50
47,333
48,51
48,155
48,487
49,52
49,286
50,53
51,54
51,263
51,344
51,480
52,55
52,251
53,56
53,215
118,56
118,195
118,244
118,290
288,56
288,538
54,58
55,59
56,60
56,489
57,62
58,63
58,589
59,64
60,65
60,131
61,66
61,515
62,67
62,279
63,68
64,69
65,70
66,71
67,72
68,73
69,74
70,75
70,164
70,225
70,314
71,76
71,509
72,78
73,79
74,80
74,163
74,201
74,221
74,285
74,324
74,355
74,517
74,550
74,572
75,81
76,82
77,83
78,84
78,108
78,117
78,176
78,438
79,85
79,130
79,152
79,342
79,445
79,579
80,86
80,370
81,87
82,88
83,89
84,90
84,101
85,91
85,511
86,92
86,115
87,93
88,94
89,95
89,284
89,323
89,449
89,541
89,560
89,568
90,96
90,402
91,97
92,98
93,99
93,348
94,100
95,102
95,168
96,103
97,104
97,238
97,492
98,105
98,296
98,325
99,106
237,106
346,106
100,107
100,470
101,109
101,544
102,110
103,111
103,248
103,410
103,504
104,112
104,175
104,262
104,337
104,426
104,502
104,503
104,516
104,520
104,561
105,113
105,454
105,507
105,518
106,114
106,172
106,347
107,116
108,118
109,119
110,120
111,121
112,122
113,124
113,595
114,126
115,127
115,448
115,513
115,582
116,128
117,129
119,132
120,133
121,134
122,135
123,136
124,137
125,138
126,139
127,140
128,141
128,305
128,315
128,581
129,142
129,208
129,447
130,144
130,144
131,145
131,272
131,319
131,542
132,146
133,147
133,301
134,148
135,149
136,150
136,185
136,528
137,151
137,421
138,153
138,346
139,154
139,283
139,548
140,156
141,157
141,302
142,158
143,159
143,184
144,160
144,298
144,535
145,161
146,162
146,260
146,505
147,165
147,210
147,292
148,166
148,382
149,167
150,169
151,170
152,171
152,220
153,173
154,174
155,177
156,178
157,179
158,180
158,592
159,181
159,277
160,182
161,183
162,186
163,187
164,188
164,335
165,189
166,190
167,191
168,192
169,193
170,194
171,196
171,444
172,197
173,198
174,199
175,200
175,218
175,430
175,557
175,580
176,202
177,203
178,205
179,207
180,209
181,211
181,291
181,377
181,414
182,212
183,213
184,214
184,232
184,391
185,216
186,217
187,219
187,303
187,437
188,222
188,264
189,223
190,224
191,226
191,427
191,512
192,227
193,228
193,556
194,229
194,373
195,230
195,408
195,523
196,231
196,432
196,588
197,233
198,234
199,235
200,236
201,237
202,239
203,240
204,241
204,429
205,242
205,269
205,318
206,243
207,245
208,246
209,247
210,249
211,250
212,252
213,253
214,254
215,255
216,256
216,336
217,257
218,258
219,259
219,327
220,261
221,265
222,266
223,267
224,268
225,270
225,443
226,273
227,274
228,275
229,276
230,280
231,281
232,282
233,288
234,293
235,295
236,297
236,469
236,543
236,549
238,299
238,332
239,300
240,304
241,306
242,307
243,308
244,309
244,354
245,310
246,311
247,312
248,313
249,316
250,320
251,321
252,322
253,328
254,329
255,330
255,578
256,331
257,334
258,338
259,339
260,341
261,343
262,345
263,349
263,371
263,397
264,350
265,351
266,352
266,395
267,353
268,356
269,357
270,358
271,359
272,360
273,361
274,362
275,363
275,499
276,364
276,479
277,365
277,564
278,366
279,367
280,368
281,369
282,372
283,374
284,375
285,376
286,378
287,379
287,486
287,498
289,383
290,384
291,385
292,386
293,387
294,388
294,496
295,389
296,390
297,392
298,393
298,540
298,562
299,394
299,471
300,398
301,399
302,400
302,472
303,401
303,554
304,403
305,404
306,405
307,406
308,407
309,409
310,411
311,412
312,413
313,415
314,416
315,419
316,420
316,460
317,422
318,423
319,424
319,593
320,425
321,428
322,431
323,434
324,435
325,436
326,439
327,440
328,441
328,585
329,446
330,450
331,451
332,452
332,586
333,453
334,455
335,456
336,457
337,458
338,459
339,461
340,462
341,463
342,464
343,465
344,466
345,467
347,468
348,474
349,476
350,477
351,478
352,481
353,483
354,484
355,485
356,488
357,490
357,563
358,491
359,493
360,494
361,495
362,497
363,500
364,501
365,508
366,510
367,521
368,522
369,524
370,525
370,536
371,526
372,527
373,529
374,530
375,531
376,532
377,533
378,534
379,537
380,539
381,545
382,546
383,547
384,551
385,552
386,553
387,555
388,558
389,559
390,566
391,567
392,569
393,570
394,571
395,573
396,575
397,576
398,577
399,583
400,590
401,594
