winner,winner_id
陕西德利天下建筑工程有限公司,1
华睿诚项目管理有限公司,2
陕西盛太建设工程有限公司,3
宝鸡世万德建筑工程有限公司,4
陕西鼎羽豪建设工程有限公司,5
宝鸡建安集团股份有限公司,6
昊轩建设有限公司,7
陕西华良兴通建设工程有限公司,8
万邦建工集团有限公司,9
陕西博晟源建设工程有限公司,10
陕西海邦建设工程有限公司,11
陕西秦吉建设有限责任公司,12
陕西鸿远腾博建设工程有限公司,13
西安恒星电梯有限公司,14
陕西鼎灿建设工程有限公司,15
陕西秦岭水利工程有限公司,16
陕西龚隆建设工程有限公司,17
盛源鑫项目管理有限公司,18
凌轩建设集团有限公司,19
陕西秦发祥建设工程有限公司,20
陕西正亿建设工程有限公司,21
宝鸡君安建筑安装有限责任公司,22
陕西晟泽昌建设工程有限公司,23
陕西明程建设工程有限公司,24
陕西千橡汇建设工程有限公司,25
陕西国亿建设工程有限公司,26
西安黄河建科水利规划设计有限公司,27
商洛道路工程公司,28
陕西西北建筑集团有限公司,29
陕西建工集团有限公司,30
陕西西公院工程试验检测有限公司,31
陕西捷丰建筑工程有限公司,32
陕西贤格建设工程有限公司,33
陕西地矿第二工程勘察院有限公司,34
陕西巨亿建设工程有限公司,35
西安长安大学工程设计研究院有限公司,36
宝鸡二建集团有限公司,37
陕西悦州建设工程有限公司,38
陕西秦峰建筑工程有限责任公司,39
宝鸡大地农业科技有限公司,40
陕西中信泽建设工程有限公司,41
四川飞红工程管理咨询有限公司,42
宝鸡涝川天润绿化科技有限公司,43
陕西核工业工程勘察院有限公司,44
西安森合工程建设监理有限公司,45
陕西江昊建设工程有限公司,46
陕西建安工程建设集团有限公司,47
陕西福林源路桥建设有限公司,48
陕西金辰宇润建设有限公司,49
亿诚建设项目管理有限公司,50
陕西宏兴建设工程有限公司,51
北京大岳咨询有限责任公司,52
榆林市源泰建设工程有限公司,53
千阳县农业生产资料公司,54
陕西金路交通发展有限公司,55
陕西通达工程建设有限公司,56
陕西秦通盛达公路工程有限公司,57
陕西创铭建设工程有限责任公司,58
宝鸡金渭水利工程质量检测有限公司,59
枫港建设有限公司,60
陕西方源正达项目管理咨询有限公司,61
陕西乾祯建设有限公司,62
陕西浩宇鑫盛建筑工程有限公司,63
陕西晟昌建设工程有限公司,64
恒基晟业建设有限公司,65
宝鸡铭扬腾飞建筑工程有限公司,66
陕西中汇建设工程有限公司,67
陕西碧风鸿建设工程有限公司,68
西安四方建设监理有限责任公司,69
陕西禹辉建设工程有限公司,70
陕西朝扬建设工程有限公司,71
陕西优景景观工程有限责任公司,72
鸿民国际工程咨询有限公司,73
宝鸡永安建筑工程有限责任公司,74
西安坐标原点地理空间研究院有限公司,75
西安驰刚建设工程有限公司,76
陕西天字建设有限公司,77
陕西西建路桥工程有限公司,78
陕西宇天建设工程有限公司,79
陕西宏德祥建设工程有限公司,80
陕西铭典项目管理有限公司,81
陕西宇鹏程建设工程有限公司,82
陕西建工集团股份有限公司,83
宝鸡西岐肥业有限公司,84
宝鸡市华驰建筑工程有限公司,85
陕西瀚智达建设工程有限公司,86
陕西合旺建设工程有限公司,87
陕西省渭河工程局,88
陕西华晶建设有限公司,89
内蒙古宏远建设监理有限责任公司,90
陕西云业建设工程有限公司,91
宝鸡市路桥工程公司,92
通号建设集团第一工程有限公司,93
陕西启强建筑工程有限公司,94
陕西中岭建设工程有限公司,95
宝鸡中业建筑工程有限公司,96
陕西星元建设工程有限公司,97
陕西旭光建设工程有限公司,98
陕西龙元勘测设计有限公司,99
陕西泽楷依实业有限公司,100
诺力泰国际建设集团有限公司,101
陕西欣朗建设工程有限公司,102
陕西中和安建设工程有限公司,103
陕西怡安建设工程有限公司,104
陕西太和建设工程有限公司,105
周秦建设有限公司,106
延安丰腾建筑工程有限责任公司,107
陕西幕皓建筑工程有限公司,108
华智建项目管理有限公司,109
陕西雄霸建筑工程有限公司,110
宝鸡市福德给水配套设备有限公司,111
陕西龙洋建设有限公司,112
陕西煜昇工程技术有限公司,113
陕西大成建筑工程有限公司,114
陕西鸿敏达建设工程有限公司,115
华玥建设工程有限公司,116
陕西省水利工程建设监理有限责任公司,117
陕西华鑫源建筑工程有限公司,118
陕西骐骏建设工程有限公司,119
陕西省现代建筑设计研究院有限公司,120
陕西盛世乾坤建设工程有限公司,121
陕西乔山景行园林绿化有限公司,122
陕西宇凡建设工程有限公司,123
陕西顺创项目管理有限公司,124
陕西富源水电工程有限公司,125
陕西万润佳汇建设工程有限公司,126
江西建工第一建筑有限责任公司,127
陕西方泰建设工程有限公司,128
陕西创恒轩建筑工程有限公司,129
陕西盛义建设集团有限公司,130
陕西盛鑫建筑安装工程有限公司,131
北京清大原点建筑设计有限公司,132
陕西舜方建设工程有限公司,133
陕西汇峰农业发展有限公司,134
陕西华德建设工程有限公司,135
陕西中诚万润建设工程有限公司,136
陕西喜林绿化工程建设有限公司,137
宝鸡祥腾瑞建设工程有限公司,138
陕西先河水利工程有限公司,139
亿洋建设有限公司,140
陕西致诚建设有限公司,141
陕西天地地质有限责任公司,142
陕西隆煜桥坤建设工程有限公司,143
陕西洪畅建设有限公司,144
陕西恒业源农林生态产业有限公司,145
中格建设股份有限公司,146
陕西聚亿顺建设有限公司,147
陕西黎明建设工程有限公司,148
杨凌吾创园林绿化工程有限公司,149
陕西志绍建设工程有限公司,150
河南大同路桥技术咨询有限公司,151
宝鸡振华农业发展有限公司,152
陕西三德实业有限公司,153
陕西鼎钰建设工程有限公司,154
陕西金岛顺建设工程有限公司,155
陕西正信昌德建设工程有限公司,156
江西省河曦建设工程有限公司,157
杨凌新领地生物科技有限公司,158
天鉴国际工程管理有限公司,159
沪大建设有限公司,160
西安万融环境亮化工程有限公司,161
中安景跃建设有限公司,162
宝鸡市交通建设工程试验检测中心,163
陕西驰志建筑工程有限公司,164
陕西巨睿建筑工程有限公司,165
陕西景峰恒业建筑工程有限公司,166
陕西诚迅合建设工程有限公司,167
陕西唐央建设工程有限公司,168
陕西铭池建设工程有限责任公司,169
陕西宝鸡永固土地整理有限公司,170
陕西华海水利工程有限公司,171
陕西经纬电梯有限公司,172
陕西运瀚鸿森实业有限公司,173
陕西奕彰建设工程有限公司,174
陕西金兴和建设工程有限公司,175
陕西岚海建筑安装工程有限公司,176
陕西航建建设工程有限公司,177
陕西睿浩生物有限公司,178
陕西宏达建筑工程有限责任公司,179
宝鸡吉顺通建筑工程有限责任公司,180
陕西康惠建设工程有限公司,181
宝鸡盛映祥开绿化有限公司,182
陕西恒有农业科技有限公司,183
陕西华盾创典建设工程有限公司,184
陕西浦昌驰建设工程有限公司,185
